"","name","rank","tuition","roomboard","app_deadline","school_type","founded","religion","salary","tuition.year","rmb","rmb.year"
"1","Princeton University",1,47140,"$15,610 (2017-18)","Jan. 1","Private, Coed",1746,"N/A",66700,"(2017-18)",15610,"(2017-18)"
"2","Harvard University",2,48949,"$16,660 (2017-18)","Jan. 1","Private, Coed",1636,"N/A",63100,"(2017-18)",16660,"(2017-18)"
"3","University of Chicago",3,54825,"$15,726 (2017-18)","Jan. 1","Private, Coed",1890,"N/A",54400,"(2017-18)",15726,"(2017-18)"
"4","Yale University",3,51400,"$15,500 (2017-18)","Jan. 1","Private, Coed",1701,"N/A",60200,"(2017-18)",15500,"(2017-18)"
"5","Columbia University",5,57208,"$13,618 (2017-18)","Jan. 1","Private, Coed",1754,"N/A",62200,"(2017-18)",13618,"(2017-18)"
"6","Massachusetts Institute of Technology",5,49892,"$14,720 (2017-18)","Jan. 1","Private, Coed",1861,"N/A",76900,"(2017-18)",14720,"(2017-18)"
"7","Stanford University",5,49617,"$15,112 (2017-18)","Jan. 3","Private, Coed",1885,"N/A",70300,"(2017-18)",15112,"(2017-18)"
"8","University of Pennsylvania",8,53534,"$15,066 (2017-18)","Jan. 5","Private, Coed",1740,"N/A",65000,"(2017-18)",15066,"(2017-18)"
"9","Duke University",9,53744,"$15,500 (2017-18)","Jan. 3","Private, Coed",1838,"N/A",62700,"(2017-18)",15500,"(2017-18)"
"10","California Institute of Technology",10,49908,"$14,796 (2017-18)","Jan. 3","Private, Coed",1891,"N/A",78400,"(2017-18)",14796,"(2017-18)"
"11","Dartmouth College",11,52950,"$15,159 (2017-18)","Jan. 1","Private, Coed",1769,"N/A",61700,"(2017-18)",15159,"(2017-18)"
"12","Johns Hopkins University",11,52170,"$15,410 (2017-18)","Jan. 1","Private, Coed",1876,"N/A",61600,"(2017-18)",15410,"(2017-18)"
"13","Northwestern University",11,52678,"$16,047 (2017-18)","Jan. 1","Private, Coed",1851,"N/A",56400,"(2017-18)",16047,"(2017-18)"
"14","Brown University",14,53419,"$14,020 (2017-18)","Jan. 1","Private, Coed",1764,"N/A",57500,"(2017-18)",14020,"(2017-18)"
"15","Cornell University",14,52853,"$14,380 (2017-18)","Jan. 1","Private, Coed",1865,"N/A",63100,"(2017-18)",14380,"(2017-18)"
"16","Rice University",14,45608,"$13,850 (2017-18)","Jan. 1","Private, Coed",1912,"N/A",63300,"(2017-18)",13850,"(2017-18)"
"17","Vanderbilt University",14,47664,"$15,584 (2017-18)","Jan. 1","Private, Coed",1873,"N/A",58000,"(2017-18)",15584,"(2017-18)"
"18","University of Notre Dame",18,51505,"$14,890 (2017-18)","Jan. 1","Private, Coed",1842,"Roman Catholic",60400,"(2017-18)",14890,"(2017-18)"
"19","Washington University in St. Louis",18,51533,"$16,006 (2017-18)","Jan. 2","Private, Coed",1853,"N/A",57300,"(2017-18)",16006,"(2017-18)"
"20","Georgetown University",20,52300,"$16,036 (2017-18)","Jan. 10","Private, Coed",1789,"Roman Catholic",57800,"(2017-18)",16036,"(2017-18)"
"21","Emory University",21,49392,"$13,894 (2017-18)","Jan. 1","Private, Coed",1836,"United Methodist",54600,"(2017-18)",13894,"(2017-18)"
"22","University of California--Berkeley",21,14098,"$17,274 (2017-18)","Nov. 30","Public, Coed",1868,"N/A",61800,"(2017-18)",17274,"(2017-18)"
"23","University of California--Berkeley",21,42112,"$17,274 (2017-18)","Nov. 30","Public, Coed",1868,"N/A",61800,"(2017-18)",17274,"(2017-18)"
"24","University of California--Los Angeles",21,13256,"$15,441 (2017-18)","Nov. 30","Public, Coed",1919,"N/A",55000,"(2017-18)",15441,"(2017-18)"
"25","University of California--Los Angeles",21,41270,"$15,441 (2017-18)","Nov. 30","Public, Coed",1919,"N/A",55000,"(2017-18)",15441,"(2017-18)"
"26","University of Southern California",21,54259,"$14,885 (2017-18)","Jan. 15","Private, Coed",1880,"N/A",56700,"(2017-18)",14885,"(2017-18)"
"27","Carnegie Mellon University",25,53910,"$13,784 (2017-18)","Jan. 1","Private, Coed",1900,"N/A",69700,"(2017-18)",13784,"(2017-18)"
"28","University of Virginia",25,16146,"$11,220 (2017-18)","Jan. 1","Public, Coed",1819,"N/A",57000,"(2017-18)",11220,"(2017-18)"
"29","University of Virginia",25,46975,"$11,220 (2017-18)","Jan. 1","Public, Coed",1819,"N/A",57000,"(2017-18)",11220,"(2017-18)"
"30","Wake Forest University",27,51400,"$15,354 (2017-18)","Jan. 1","Private, Coed",1834,"N/A",52800,"(2017-18)",15354,"(2017-18)"
"31","University of Michigan--Ann Arbor",28,14826,"$11,198 (2017-18)","Feb. 1","Public, Coed",1817,"N/A",58400,"(2017-18)",11198,"(2017-18)"
"32","University of Michigan--Ann Arbor",28,47476,"$11,198 (2017-18)","Feb. 1","Public, Coed",1817,"N/A",58400,"(2017-18)",11198,"(2017-18)"
"33","Tufts University",29,54318,"$14,054 (2017-18)","Jan. 1","Private, Coed",1852,"N/A",56700,"(2017-18)",14054,"(2017-18)"
"34","New York University",30,50464,"$17,664 (2017-18)","Jan. 1","Private, Coed",1831,"N/A",54400,"(2017-18)",17664,"(2017-18)"
"35","University of North Carolina--Chapel Hill",30,9005,"$11,556 (2017-18)","Jan. 15","Public, Coed",1789,"N/A",47600,"(2017-18)",11556,"(2017-18)"
"36","University of North Carolina--Chapel Hill",30,34588,"$11,556 (2017-18)","Jan. 15","Public, Coed",1789,"N/A",47600,"(2017-18)",11556,"(2017-18)"
"37","Boston College",32,53346,"$14,142 (2017-18)","Jan. 1","Private, Coed",1863,"
                    ",56100,"(2017-18)",14142,"(2017-18)"
"38","Boston College",32,53346,"$14,142 (2017-18)","Jan. 1","Private, Coed",1863,"Roman Catholic",56100,"(2017-18)",14142,"(2017-18)"
"39","College of William &amp; Mary",32,20287,"$11,799 (2017-18)","Jan. 1","Public, Coed",1693,"N/A",50500,"(2017-18)",11799,"(2017-18)"
"40","College of William &amp; Mary",32,43099,"$11,799 (2017-18)","Jan. 1","Public, Coed",1693,"N/A",50500,"(2017-18)",11799,"(2017-18)"
"41","Brandeis University",34,53582,"$14,906 (2017-18)","Jan. 1","Private, Coed",1948,"N/A",50600,"(2017-18)",14906,"(2017-18)"
"42","Georgia Institute of Technology",34,12418,"$14,126 (2017-18)","Jan. 1","Public, Coed",1885,"N/A",65700,"(2017-18)",14126,"(2017-18)"
"43","Georgia Institute of Technology",34,33014,"$14,126 (2017-18)","Jan. 1","Public, Coed",1885,"N/A",65700,"(2017-18)",14126,"(2017-18)"
"44","University of Rochester",34,52020,"$15,398 (2017-18)","Jan. 5","Private, Coed",1850,"N/A",54800,"(2017-18)",15398,"(2017-18)"
"45","Boston University",37,52082,"$15,270 (2017-18)","Jan. 2","Private, Coed",1839,"N/A",52900,"(2017-18)",15270,"(2017-18)"
"46","Case Western Reserve University",37,47500,"$14,784 (2017-18)","Jan. 15","Private, Coed",1826,"N/A",61300,"(2017-18)",14784,"(2017-18)"
"47","University of California--Santa Barbara",37,14409,"$16,218 (2017-18)","Nov. 30","Public, Coed",1909,"N/A",52200,"(2017-18)",16218,"(2017-18)"
"48","University of California--Santa Barbara",37,42423,"$16,218 (2017-18)","Nov. 30","Public, Coed",1909,"N/A",52200,"(2017-18)",16218,"(2017-18)"
"49","Northeastern University",40,49497,"$16,240 (2017-18)","Jan. 1","Private, Coed",1898,"N/A",56600,"(2017-18)",16240,"(2017-18)"
"50","Tulane University",40,52960,"$14,536 (2017-18)","Jan. 15","Private, Coed",1834,"N/A",49800,"(2017-18)",14536,"(2017-18)"
"51","Rensselaer Polytechnic Institute",42,52305,"$14,960 (2017-18)","Feb. 1","Private, Coed",1824,"N/A",66000,"(2017-18)",14960,"(2017-18)"
"52","University of California--Irvine",42,15516,"$14,829 (2017-18)","Nov. 30","Public, Coed",1965,"N/A",52100,"(2017-18)",14829,"(2017-18)"
"53","University of California--Irvine",42,43530,"$14,829 (2017-18)","Nov. 30","Public, Coed",1965,"N/A",52100,"(2017-18)",14829,"(2017-18)"
"54","University of California--San Diego",42,16183,"$13,254 (2017-18)","Nov. 30","Public, Coed",1960,"N/A",55000,"(2017-18)",13254,"(2017-18)"
"55","University of California--San Diego",42,44197,"$13,254 (2017-18)","Nov. 30","Public, Coed",1960,"N/A",55000,"(2017-18)",13254,"(2017-18)"
"56","University of Florida",42,6381,"$9,910 (2017-18)","Nov. 1","Public, Coed",1853,"N/A",51000,"(2017-18)",9910,"(2017-18)"
"57","University of Florida",42,28658,"$9,910 (2017-18)","Nov. 1","Public, Coed",1853,"N/A",51000,"(2017-18)",9910,"(2017-18)"
"58","Lehigh University",46,50740,"$13,120 (2017-18)","Jan. 1","Private, Coed",1865,"N/A",63700,"(2017-18)",13120,"(2017-18)"
"59","Pepperdine University",46,51992,"$14,870 (2017-18)","Jan. 5","Private, Coed",1937,"Churches of Christ",52000,"(2017-18)",14870,"(2017-18)"
"60","University of California--Davis",46,14382,"$16,136 (2017-18)","Nov. 30","Public, Coed",1905,"N/A",54300,"(2017-18)",16136,"(2017-18)"
"61","University of California--Davis",46,42396,"$16,136 (2017-18)","Nov. 30","Public, Coed",1905,"N/A",54300,"(2017-18)",16136,"(2017-18)"
"62","University of Miami",46,48484,"$13,666 (2017-18)","Jan. 1","Private, Coed",1925,"N/A",51400,"(2017-18)",13666,"(2017-18)"
"63","University of Wisconsin--Madison",46,10533,"$10,842 (2017-18)","Feb. 1","Public, Coed",1848,"N/A",51700,"(2017-18)",10842,"(2017-18)"
"64","University of Wisconsin--Madison",46,34782,"$10,842 (2017-18)","Feb. 1","Public, Coed",1848,"N/A",51700,"(2017-18)",10842,"(2017-18)"
"65","Villanova University",46,51434,"$13,520 (2017-18)","Jan. 15","Private, Coed",1842,"Roman Catholic",60300,"(2017-18)",13520,"(2017-18)"
"66","Pennsylvania State University--University Park",52,18436,"$11,280 (2017-18)","rolling","Public, Coed",1855,"N/A",54600,"(2017-18)",11280,"(2017-18)"
"67","Pennsylvania State University--University Park",52,33664,"$11,280 (2017-18)","rolling","Public, Coed",1855,"N/A",54600,"(2017-18)",11280,"(2017-18)"
"68","University of Illinois--Urbana-Champaign",52,15868,"$11,308 (2017-18)","Dec. 1","Public, Coed",1867,"N/A",57300,"(2017-18)",11308,"(2017-18)"
"69","University of Illinois--Urbana-Champaign",52,31988,"$11,308 (2017-18)","Dec. 1","Public, Coed",1867,"N/A",57300,"(2017-18)",11308,"(2017-18)"
"70","Ohio State University--Columbus",54,10591,"$12,252 (2017-18)","Feb. 1","Public, Coed",1870,"N/A",50600,"(2017-18)",12252,"(2017-18)"
"71","Ohio State University--Columbus",54,29659,"$12,252 (2017-18)","Feb. 1","Public, Coed",1870,"N/A",50600,"(2017-18)",12252,"(2017-18)"
"72","University of Georgia",54,11818,"$10,060 (2017-18)","Jan. 1","Public, Coed",1785,"N/A",47500,"(2017-18)",10060,"(2017-18)"
"73","University of Georgia",54,30392,"$10,060 (2017-18)","Jan. 1","Public, Coed",1785,"N/A",47500,"(2017-18)",10060,"(2017-18)"
"74","George Washington University",56,53518,"$13,000 (2017-18)","Jan. 1","Private, Coed",1821,"N/A",51800,"(2017-18)",13000,"(2017-18)"
"75","Purdue University--West Lafayette",56,10002,"$10,030 (2017-18)","rolling","Public, Coed",1869,"N/A",57500,"(2017-18)",10030,"(2017-18)"
"76","Purdue University--West Lafayette",56,28804,"$10,030 (2017-18)","rolling","Public, Coed",1869,"N/A",57500,"(2017-18)",10030,"(2017-18)"
"77","University of Connecticut",56,14880,"$12,514 (2017-18)","Jan. 15","Public, Coed",1881,"N/A",54400,"(2017-18)",12514,"(2017-18)"
"78","University of Connecticut",56,36948,"$12,514 (2017-18)","Jan. 15","Public, Coed",1881,"N/A",54400,"(2017-18)",12514,"(2017-18)"
"79","University of Texas--Austin",56,10136,"$10,070 (2017-18)","Dec. 1","Public, Coed",1883,"N/A",54400,"(2017-18)",10070,"(2017-18)"
"80","University of Texas--Austin",56,35766,"$10,070 (2017-18)","Dec. 1","Public, Coed",1883,"N/A",54400,"(2017-18)",10070,"(2017-18)"
"81","University of Washington",56,10974,"$12,117 (2017-18)","Nov. 15","Public, Coed",1861,"N/A",54400,"(2017-18)",12117,"(2017-18)"
"82","University of Washington",56,35538,"$12,117 (2017-18)","Nov. 15","Public, Coed",1861,"N/A",54400,"(2017-18)",12117,"(2017-18)"
"83","Brigham Young University--Provo",61,5460,"$7,530 (2017-18)","Feb. 1","Private, Coed",1875,"
                                ",54100,"(2017-18)",7530,"(2017-18)"
"84","Fordham University",61,50601,"$17,445 (2017-18)","Jan. 9","Private, Coed",1841,"Roman Catholic",51300,"(2017-18)",17445,"(2017-18)"
"85","Southern Methodist University",61,52498,"$16,910 (2017-18)","Jan. 15","Private, Coed",1911,"N/A",52600,"(2017-18)",16910,"(2017-18)"
"86","Syracuse University",61,46755,"$15,558 (2017-18)","Jan. 1","Private, Coed",1870,"N/A",51400,"(2017-18)",15558,"(2017-18)"
"87","University of Maryland--College Park",61,10399,"$12,082 (2017-18)","Jan. 20","Public, Coed",1856,"N/A",56400,"(2017-18)",12082,"(2017-18)"
"88","University of Maryland--College Park",61,33606,"$12,082 (2017-18)","Jan. 20","Public, Coed",1856,"N/A",56400,"(2017-18)",12082,"(2017-18)"
"89","Worcester Polytechnic Institute",61,48628,"$14,218 (2017-18)","Feb. 1","Private, Coed",1865,"N/A",67300,"(2017-18)",14218,"(2017-18)"
"90","Clemson University",67,14712,"$9,592 (2017-18)","May 1","Public, Coed",1889,"N/A",53600,"(2017-18)",9592,"(2017-18)"
"91","Clemson University",67,35654,"$9,592 (2017-18)","May 1","Public, Coed",1889,"N/A",53600,"(2017-18)",9592,"(2017-18)"
"92","University of Pittsburgh",68,19080,"$10,950 (2017-18)","rolling","Public, Coed",1787,"N/A",50600,"(2017-18)",10950,"(2017-18)"
"93","University of Pittsburgh",68,30642,"$10,950 (2017-18)","rolling","Public, Coed",1787,"N/A",50600,"(2017-18)",10950,"(2017-18)"
"94","American University",69,46615,"$14,702 (2017-18)","Jan. 15","Private, Coed",1893,"N/A",47400,"(2017-18)",14702,"(2017-18)"
"95","Rutgers University--New Brunswick",69,14372,"$12,260 (2016-17)","Dec. 1","Public, Coed",1766,"N/A",53300,"(2016-17)",12260,"(2016-17)"
"96","Rutgers University--New Brunswick",69,30023,"$12,260 (2016-17)","Dec. 1","Public, Coed",1766,"N/A",53300,"(2016-17)",12260,"(2016-17)"
"97","Stevens Institute of Technology",69,50554,"$14,400 (2017-18)","Feb. 1","Private, Coed",1870,"N/A",67000,"(2017-18)",14400,"(2017-18)"
"98","Texas A&amp;M University--College Station",69,10030,"$10,368 (2017-18)","Dec. 1","Public, Coed",1876,"N/A",55800,"(2017-18)",10368,"(2017-18)"
"99","Texas A&amp;M University--College Station",69,30208,"$10,368 (2017-18)","Dec. 1","Public, Coed",1876,"N/A",55800,"(2017-18)",10368,"(2017-18)"
"100","University of Minnesota--Twin Cities",69,14417,"$9,852 (2017-18)","rolling","Public, Coed",1851,"N/A",51600,"(2017-18)",9852,"(2017-18)"
"101","University of Minnesota--Twin Cities",69,26603,"$9,852 (2017-18)","rolling","Public, Coed",1851,"N/A",51600,"(2017-18)",9852,"(2017-18)"
"102","Virginia Tech",69,12852,"$8,424 (2016-17)","Dec. 1","Public, Coed",1872,"N/A",57900,"(2016-17)",8424,"(2016-17)"
"103","Virginia Tech",69,29371,"$8,424 (2016-17)","Dec. 1","Public, Coed",1872,"N/A",57900,"(2016-17)",8424,"(2016-17)"
"104","Baylor University",75,43790,"$12,588 (2017-18)","Feb. 1","Private, Coed",1845,"N/A",50700,"(2017-18)",12588,"(2017-18)"
"105","Colorado School of Mines",75,18386,"$11,897 (2017-18)","May 1","Public, Coed",1874,"N/A",68000,"(2017-18)",11897,"(2017-18)"
"106","Colorado School of Mines",75,37436,"$11,897 (2017-18)","May 1","Public, Coed",1874,"N/A",68000,"(2017-18)",11897,"(2017-18)"
"107","University of Massachusetts--Amherst",75,15596,"$12,258 (2017-18)","Jan. 15","Public, Coed",1863,"N/A",51700,"(2017-18)",12258,"(2017-18)"
"108","University of Massachusetts--Amherst",75,33662,"$12,258 (2017-18)","Jan. 15","Public, Coed",1863,"N/A",51700,"(2017-18)",12258,"(2017-18)"
"109","Miami University--Oxford",78,14578,"$12,725 (2017-18)","Feb. 1","Public, Coed",1809,"N/A",51400,"(2017-18)",12725,"(2017-18)"
"110","Miami University--Oxford",78,32768,"$12,725 (2017-18)","Feb. 1","Public, Coed",1809,"N/A",51400,"(2017-18)",12725,"(2017-18)"
"111","Texas Christian University",78,44760,"$12,360 (2017-18)","Feb. 15","Private, Coed",1873,"
                                ",50700,"(2017-18)",12360,"(2017-18)"
"112","University of Iowa",78,8575,"$10,108 (2017-18)","May 1","Public, Coed",1847,"N/A",48100,"(2017-18)",10108,"(2017-18)"
"113","University of Iowa",78,28813,"$10,108 (2017-18)","May 1","Public, Coed",1847,"N/A",48100,"(2017-18)",10108,"(2017-18)"
"114","Clark University",81,44400,"$8,860 (2017-18)","Jan. 15","Private, Coed",1887,"N/A",43600,"(2017-18)",8860,"(2017-18)"
"115","Florida State University",81,6507,"$10,458 (2017-18)","Feb. 7","Public, Coed",1851,"N/A",44800,"(2017-18)",10458,"(2017-18)"
"116","Florida State University",81,21673,"$10,458 (2017-18)","Feb. 7","Public, Coed",1851,"N/A",44800,"(2017-18)",10458,"(2017-18)"
"117","Michigan State University",81,14460,"$9,976 (2017-18)","rolling","Public, Coed",1855,"N/A",50600,"(2017-18)",9976,"(2017-18)"
"118","Michigan State University",81,39405,"$9,976 (2017-18)","rolling","Public, Coed",1855,"N/A",50600,"(2017-18)",9976,"(2017-18)"
"119","North Carolina State University--Raleigh",81,9058,"$10,854 (2017-18)","Jan. 15","Public, Coed",1887,"N/A",52800,"(2017-18)",10854,"(2017-18)"
"120","North Carolina State University--Raleigh",81,27406,"$10,854 (2017-18)","Jan. 15","Public, Coed",1887,"N/A",52800,"(2017-18)",10854,"(2017-18)"
