"name","major_rank","major","percent"
"Princeton University",1,"Public Policy Analysis, General",11
"Princeton University",2,"Computer Engineering, General",9
"Princeton University",3,"Econometrics and Quantitative Economics",9
"Princeton University",4,"History, General",7
"Princeton University",5,"Operations Research",6
"Harvard University",1,"Social Sciences, General",30
"Harvard University",2,"Biology/Biological Sciences, General",14
"Harvard University",3,"Mathematics, General",11
"Harvard University",4,"History, General",8
"Harvard University",5,"Physical Sciences",7
"University of Chicago",1,"Economics, General",20
"University of Chicago",2,"Biology/Biological Sciences, General",9
"University of Chicago",3,"Mathematics, General",8
"University of Chicago",4,"Political Science and Government, General",7
"University of Chicago",5,"Public Policy Analysis, General",6
"Yale University",1,"Economics, General",15
"Yale University",2,"Political Science and Government, General",9
"Yale University",3,"History, General",7
"Yale University",4,"Psychology, General",7
"Yale University",5,"Cell/Cellular and Molecular Biology",6
"Columbia University",1,"Social Sciences",23
"Columbia University",2,"Engineering",21
"Columbia University",3,"Biological and Biomedical Sciences",10
"Columbia University",4,"Computer and Information Sciences and Support Services",7
"Columbia University",5,"Visual and Performing Arts",5
"Massachusetts Institute of Technology",1,"Engineering",38
"Massachusetts Institute of Technology",2,"Computer and Information Sciences and Support Services",25
"Massachusetts Institute of Technology",3,"Mathematics and Statistics",9
"Massachusetts Institute of Technology",4,"Biological and Biomedical Sciences",8
"Massachusetts Institute of Technology",5,"Physical Sciences",8
"Stanford University",1,"Computer and Information Sciences and Support Services",15
"Stanford University",2,"Multi/Interdisciplinary Studies",9
"Stanford University",3,"Biological and Biomedical Sciences",6
"Stanford University",4,"Social Sciences",6
"Stanford University",5,"Engineering",6
"University of Pennsylvania",1,"Finance, General",11
"University of Pennsylvania",2,"Registered Nursing/Registered Nurse",6
"University of Pennsylvania",3,"Economics, General",6
"University of Pennsylvania",4,"Biology/Biological Sciences, General",5
"University of Pennsylvania",5,"Political Science and Government, General",4
"Duke University",1,"Biology/Biological Sciences, General",11
"Duke University",2,"Economics, General",11
"Duke University",3,"Public Policy Analysis, General",9
"Duke University",4,"Psychology, General",7
"Duke University",5,"Bioengineering and Biomedical Engineering",6
"California Institute of Technology",1,"Engineering",37
"California Institute of Technology",2,"Computer and Information Sciences and Support Services",23
"California Institute of Technology",3,"Physical Sciences",18
"California Institute of Technology",4,"Mathematics and Statistics",14
"California Institute of Technology",5,"Biological and Biomedical Sciences",7
"Dartmouth College",1,"Social Sciences",35
"Dartmouth College",2,"Biological and Biomedical Sciences",10
"Dartmouth College",3,"Engineering",8
"Dartmouth College",4,"History",6
"Dartmouth College",5,"Psychology",6
"Johns Hopkins University",1,"Public Health, General",10
"Johns Hopkins University",2,"Bioengineering and Biomedical Engineering",9
"Johns Hopkins University",3,"Cell/Cellular and Molecular Biology",7
"Johns Hopkins University",4,"Neuroscience",7
"Johns Hopkins University",5,"International Relations and Affairs",6
"Northwestern University",1,"Economics, General",15
"Northwestern University",2,"Psychology, General",6
"Northwestern University",3,"Biology/Biological Sciences, General",6
"Northwestern University",4,"Journalism",5
"Northwestern University",5,"Political Science and Government, General",5
"Brown University",1,"Economics, General",9
"Brown University",2,"Computer Science",8
"Brown University",3,"Biology/Biological Sciences, General",7
"Brown University",4,"Entrepreneurship/Entrepreneurial Studies",6
"Brown University",5,"Political Science and Government, General",5
"Cornell University",1,"Engineering",17
"Cornell University",2,"Business, Management, Marketing, and Related Support Services",15
"Cornell University",3,"Biological and Biomedical Sciences",14
"Cornell University",4,"Agriculture, Agriculture Operations, and Related Sciences",12
"Cornell University",5,"Social Sciences",9
"Rice University",1,"Biochemistry",8
"Rice University",2,"Economics, General",7
"Rice University",3,"Chemical Engineering",7
"Rice University",4,"Computer and Information Sciences, General",6
"Rice University",5,"Mechanical Engineering",6
"Vanderbilt University",1,"Economics, General",12
"Vanderbilt University",2,"Multi-/Interdisciplinary Studies, Other",12
"Vanderbilt University",3,"Social Sciences, General",9
"Vanderbilt University",4,"Mathematics, General",5
"Vanderbilt University",5,"Political Science and Government, General",5
"University of Notre Dame",1,"Finance, General",10
"University of Notre Dame",2,"Accounting",6
"University of Notre Dame",3,"Economics, General",6
"University of Notre Dame",4,"Political Science and Government, General",5
"University of Notre Dame",5,"Psychology, General",5
"Washington University in St. Louis",1,"Engineering",19
"Washington University in St. Louis",2,"Business, Management, Marketing, and Related Support Services",13
"Washington University in St. Louis",3,"Social Sciences",12
"Washington University in St. Louis",4,"Biological and Biomedical Sciences",11
"Washington University in St. Louis",5,"Psychology",9
"Georgetown University",1,"Social Sciences",38
"Georgetown University",2,"Business, Management, Marketing, and Related Support Services",18
"Georgetown University",3,"Health Professions and Related Programs",6
"Georgetown University",4,"Multi/Interdisciplinary Studies",6
"Georgetown University",5,"Biological and Biomedical Sciences",6
"Emory University",1,"Business Administration and Management, General",15
"Emory University",2,"Biology/Biological Sciences, General",10
"Emory University",3,"Economics, General",9
"Emory University",4,"Registered Nursing/Registered Nurse",7
"Emory University",5,"Neuroscience",7
"University of California--Berkeley",1,"Social Sciences",19
"University of California--Berkeley",2,"Engineering",12
"University of California--Berkeley",3,"Biological and Biomedical Sciences",11
"University of California--Berkeley",4,"Multi/Interdisciplinary Studies",6
"University of California--Berkeley",5,"Mathematics and Statistics",5
"University of California--Los Angeles",1,"Social Sciences",7
"University of California--Los Angeles",2,"Psychology",6
"University of California--Los Angeles",3,"Social Sciences",6
"University of California--Los Angeles",4,"Biological and Biomedical Sciences",5
"University of Southern California",1,"Business, Management, Marketing, and Related Support Services",25
"University of Southern California",2,"Social Sciences",12
"University of Southern California",3,"Visual and Performing Arts",12
"University of Southern California",4,"Engineering",10
"University of Southern California",5,"Communication, Journalism, and Related Programs",9
"Carnegie Mellon University",1,"Information Technology",12
"Carnegie Mellon University",2,"Electrical and Electronics Engineering",10
"Carnegie Mellon University",3,"Business Administration and Management, General",8
"Carnegie Mellon University",4,"Computer Science",5
"Carnegie Mellon University",5,"Mechanical Engineering",5
"University of Virginia",1,"Economics, General",11
"University of Virginia",2,"Business/Commerce, General",9
"University of Virginia",3,"Biology/Biological Sciences, General",7
"University of Virginia",4,"International Relations and Affairs",7
"University of Virginia",5,"Psychology, General",6
"Wake Forest University",1,"Social Sciences",21
"Wake Forest University",2,"Business, Management, Marketing, and Related Support Services",20
"Wake Forest University",3,"Communication, Journalism, and Related Programs",9
"Wake Forest University",4,"Biological and Biomedical Sciences",8
"Wake Forest University",5,"Psychology",8
"University of Michigan--Ann Arbor",1,"Business Administration and Management, General",7
"University of Michigan--Ann Arbor",2,"Experimental Psychology",7
"University of Michigan--Ann Arbor",3,"Economics, General",6
"University of Michigan--Ann Arbor",4,"Physiological Psychology/Psychobiology",5
"University of Michigan--Ann Arbor",5,"Computer and Information Sciences, General",4
"Tufts University",1,"Social Sciences",27
"Tufts University",2,"Engineering",10
"Tufts University",3,"Biological and Biomedical Sciences",8
"Tufts University",4,"Multi/Interdisciplinary Studies",7
"Tufts University",5,"Computer and Information Sciences and Support Services",6
"New York University",1,"Visual and Performing Arts",19
"New York University",2,"Social Sciences",14
"New York University",3,"Business, Management, Marketing, and Related Support Services",13
"New York University",4,"Liberal Arts and Sciences, General Studies and Humanities",10
"New York University",5,"Health Professions and Related Programs",8
"University of North Carolina--Chapel Hill",1,"Communication and Media Studies",10
"University of North Carolina--Chapel Hill",2,"Biology, General",9
"University of North Carolina--Chapel Hill",3,"Psychology, General",8
"University of North Carolina--Chapel Hill",4,"Economics",8
"University of North Carolina--Chapel Hill",5,"Political Science and Government",6
"Boston College",1,"Economics, General",12
"Boston College",2,"Finance, General",11
"Boston College",3,"Biology/Biological Sciences, General",8
"Boston College",4,"Psychology, General",7
"Boston College",5,"Speech Communication and Rhetoric",6
"College of William &amp; Mary",1,"Social Sciences",24
"College of William &amp; Mary",2,"Business, Management, Marketing, and Related Support Services",11
"College of William &amp; Mary",3,"Biological and Biomedical Sciences",10
"College of William &amp; Mary",4,"Psychology",8
"College of William &amp; Mary",5,"Multi/Interdisciplinary Studies",7
"Brandeis University",1,"Business/Commerce, General",10
"Brandeis University",2,"Economics, General",10
"Brandeis University",3,"Biology/Biological Sciences, General",9
"Brandeis University",4,"Psychology, General",8
"Brandeis University",5,"Health Policy Analysis",6
"Georgia Institute of Technology",1,"Engineering",63
"Georgia Institute of Technology",2,"Business, Management, Marketing, and Related Support Services",12
"Georgia Institute of Technology",3,"Computer and Information Sciences and Support Services",11
"Georgia Institute of Technology",4,"Biological and Biomedical Sciences",4
"Georgia Institute of Technology",5,"Physical Sciences",2
"University of Rochester",1,"Social Sciences",15
"University of Rochester",2,"Engineering",13
"University of Rochester",3,"Health Professions and Related Programs",12
"University of Rochester",4,"Biological and Biomedical Sciences",11
"University of Rochester",5,"Psychology",11
"Boston University",1,"Business, Management, Marketing, and Related Support Services",20
"Boston University",2,"Social Sciences",14
"Boston University",3,"Communication, Journalism, and Related Programs",13
"Boston University",4,"Health Professions and Related Programs",9
"Boston University",5,"Engineering",9
"Case Western Reserve University",1,"Bioengineering and Biomedical Engineering",9
"Case Western Reserve University",2,"Biology/Biological Sciences, General",9
"Case Western Reserve University",3,"Mechanical Engineering",8
"Case Western Reserve University",4,"Psychology, General",8
"Case Western Reserve University",5,"Registered Nursing/Registered Nurse",6
"University of California--Santa Barbara",1,"Social Sciences",26
"University of California--Santa Barbara",2,"Biological and Biomedical Sciences",9
"University of California--Santa Barbara",3,"Psychology",8
"University of California--Santa Barbara",4,"Communication, Journalism, and Related Programs",7
"University of California--Santa Barbara",5,"Visual and Performing Arts",5
"Northeastern University",1,"Business, Management, Marketing, and Related Support Services",26
"Northeastern University",2,"Engineering",17
"Northeastern University",3,"Health Professions and Related Programs",13
"Northeastern University",4,"Social Sciences",10
"Northeastern University",5,"Biological and Biomedical Sciences",8
"Tulane University",1,"Business, Management, Marketing, and Related Support Services",24
"Tulane University",2,"Social Sciences",15
"Tulane University",3,"Biological and Biomedical Sciences",11
"Tulane University",4,"Health Professions and Related Programs",9
"Tulane University",5,"Communication, Journalism, and Related Programs",6
"Rensselaer Polytechnic Institute",1,"Engineering",56
"Rensselaer Polytechnic Institute",2,"Computer and Information Sciences and Support Services",12
"Rensselaer Polytechnic Institute",3,"Business, Management, Marketing, and Related Support Services",5
"Rensselaer Polytechnic Institute",4,"Architecture and Related Services",4
"Rensselaer Polytechnic Institute",5,"Biological and Biomedical Sciences",4
"University of California--Irvine",1,"Biology/Biological Sciences, General",9
"University of California--Irvine",2,"Social Psychology",8
"University of California--Irvine",3,"Public Health, Other",8
"University of California--Irvine",4,"Business/Managerial Economics",7
"University of California--Irvine",5,"Criminology",4
"University of California--San Diego",1,"Biology, General",21
"University of California--San Diego",2,"Economics",13
"University of California--San Diego",3,"Computer Engineering",9
"University of California--San Diego",4,"Psychology, General",6
"University of California--San Diego",5,"Communication and Media Studies",5
"University of Florida",1,"Engineering",13
"University of Florida",2,"Business, Management, Marketing, and Related Support Services",12
"University of Florida",3,"Biological and Biomedical Sciences",11
"University of Florida",4,"Social Sciences",11
"University of Florida",5,"Communication, Journalism, and Related Programs",8
"Lehigh University",1,"Finance, General",10
"Lehigh University",2,"Mechanical Engineering",9
"Lehigh University",3,"Accounting",6
"Lehigh University",4,"Psychology, General",5
"Lehigh University",5,"Marketing/Marketing Management, General",5
"Pepperdine University",1,"Business, Management, Marketing, and Related Support Services",27
"Pepperdine University",2,"Communication, Journalism, and Related Programs",19
"Pepperdine University",3,"Social Sciences",11
"Pepperdine University",4,"Psychology",8
"Pepperdine University",5,"Multi/Interdisciplinary Studies",7
"University of California--Davis",1,"Biological and Biomedical Sciences",19
"University of California--Davis",2,"Social Sciences",17
"University of California--Davis",3,"Psychology",14
"University of California--Davis",4,"Engineering",11
"University of California--Davis",5,"Agriculture, Agriculture Operations, and Related Sciences",6
"University of Miami",1,"Business, Management, Marketing, and Related Support Services",20
"University of Miami",2,"Biological and Biomedical Sciences",15
"University of Miami",3,"Social Sciences",12
"University of Miami",4,"Health Professions and Related Programs",10
"University of Miami",5,"Communication, Journalism, and Related Programs",9
"University of Wisconsin--Madison",1,"Biology/Biological Sciences, General",8
"University of Wisconsin--Madison",2,"Economics, General",8
"University of Wisconsin--Madison",3,"Political Science and Government, General",5
"University of Wisconsin--Madison",4,"Psychology, General",5
"University of Wisconsin--Madison",5,"Speech Communication and Rhetoric",4
"Villanova University",1,"Business, Management, Marketing, and Related Support Services",31
"Villanova University",2,"Social Sciences",12
"Villanova University",3,"Engineering",11
"Villanova University",4,"Health Professions and Related Programs",11
"Villanova University",5,"Communication, Journalism, and Related Programs",8
"Pennsylvania State University--University Park",1,"Engineering",17
"Pennsylvania State University--University Park",2,"Business, Management, Marketing, and Related Support Services",17
"Pennsylvania State University--University Park",3,"Communication, Journalism, and Related Programs",8
"Pennsylvania State University--University Park",4,"Social Sciences",8
"Pennsylvania State University--University Park",5,"Computer and Information Sciences and Support Services",6
"University of Illinois--Urbana-Champaign",1,"Engineering",19
"University of Illinois--Urbana-Champaign",2,"Business, Management, Marketing, and Related Support Services",13
"University of Illinois--Urbana-Champaign",3,"Social Sciences",9
"University of Illinois--Urbana-Champaign",4,"Communication, Journalism, and Related Programs",7
"University of Illinois--Urbana-Champaign",5,"Biological and Biomedical Sciences",7
"Ohio State University--Columbus",1,"Psychology, General",6
"Ohio State University--Columbus",2,"Speech Communication and Rhetoric",5
"Ohio State University--Columbus",3,"Finance, General",4
"Ohio State University--Columbus",4,"Biology/Biological Sciences, General",4
"Ohio State University--Columbus",5,"Marketing/Marketing Management, General",3
"University of Georgia",1,"Psychology, General",7
"University of Georgia",2,"Finance, General",7
"University of Georgia",3,"Biology/Biological Sciences, General",6
"University of Georgia",4,"Marketing/Marketing Management, General",4
"University of Georgia",5,"International Relations and Affairs",3
"George Washington University",1,"Social Sciences",34
"George Washington University",2,"Business, Management, Marketing, and Related Support Services",18
"George Washington University",3,"Health Professions and Related Programs",9
"George Washington University",4,"Communication, Journalism, and Related Programs",5
"George Washington University",5,"Engineering",5
"Purdue University--West Lafayette",1,"Engineering",23
"Purdue University--West Lafayette",2,"Business, Management, Marketing, and Related Support Services",18
"Purdue University--West Lafayette",3,"Liberal Arts and Sciences, General Studies and Humanities",11
"Purdue University--West Lafayette",4,"Agriculture, Agriculture Operations, and Related Sciences",9
"Purdue University--West Lafayette",5,"Engineering Technologies and Engineering-Related Fields",5
"University of Connecticut",1,"Business, Management, Marketing, and Related Support Services",13
"University of Connecticut",2,"Health Professions and Related Programs",13
"University of Connecticut",3,"Social Sciences",11
"University of Connecticut",4,"Engineering",10
"University of Connecticut",5,"Biological and Biomedical Sciences",9
"University of Texas--Austin",1,"Engineering",12
"University of Texas--Austin",2,"Biological and Biomedical Sciences",11
"University of Texas--Austin",3,"Business, Management, Marketing, and Related Support Services",11
"University of Texas--Austin",4,"Communication, Journalism, and Related Programs",11
"University of Texas--Austin",5,"Social Sciences",11
"University of Washington",1,"Social Sciences",15
"University of Washington",2,"Biological and Biomedical Sciences",12
"University of Washington",3,"Business, Management, Marketing, and Related Support Services",11
"University of Washington",4,"Engineering",9
"University of Washington",5,"Communication, Journalism, and Related Programs",6
"Brigham Young University--Provo",1,"Business, Management, Marketing, and Related Support Services",17
"Brigham Young University--Provo",2,"Biological and Biomedical Sciences",11
"Brigham Young University--Provo",3,"Education",8
"Brigham Young University--Provo",4,"Engineering",8
"Brigham Young University--Provo",5,"Health Professions and Related Programs",8
"Fordham University",1,"Speech Communication and Rhetoric",12
"Fordham University",2,"Business Administration and Management, General",10
"Fordham University",3,"Psychology, General",8
"Fordham University",4,"Finance, General",7
"Fordham University",5,"Economics, General",6
"Southern Methodist University",1,"Business, Management, Marketing, and Related Support Services",23
"Southern Methodist University",2,"Social Sciences",15
"Southern Methodist University",3,"Communication, Journalism, and Related Programs",12
"Southern Methodist University",4,"Engineering",8
"Southern Methodist University",5,"Visual and Performing Arts",7
"Syracuse University",1,"Business, Management, Marketing, and Related Support Services",14
"Syracuse University",2,"Communication, Journalism, and Related Programs",14
"Syracuse University",3,"Social Sciences",13
"Syracuse University",4,"Visual and Performing Arts",9
"Syracuse University",5,"Engineering",8
"University of Maryland--College Park",1,"Biology/Biological Sciences, General",7
"University of Maryland--College Park",2,"Computer Engineering, General",5
"University of Maryland--College Park",3,"Criminology",5
"University of Maryland--College Park",4,"Economics, General",5
"University of Maryland--College Park",5,"Finance, General",5
"Worcester Polytechnic Institute",1,"Mechanical Engineering",22
"Worcester Polytechnic Institute",2,"Electrical and Electronics Engineering",11
"Worcester Polytechnic Institute",3,"Chemical Engineering",9
"Worcester Polytechnic Institute",4,"Bioengineering and Biomedical Engineering",9
"Worcester Polytechnic Institute",5,"Computer Science",8
"Clemson University",1,"Business, Management, Marketing, and Related Support Services",20
"Clemson University",2,"Engineering",18
"Clemson University",3,"Biological and Biomedical Sciences",9
"Clemson University",4,"Agriculture, Agriculture Operations, and Related Sciences",7
"Clemson University",5,"Health Professions and Related Programs",7
"University of Pittsburgh",1,"Business, Management, Marketing, and Related Support Services",20
"University of Pittsburgh",2,"Health Professions and Related Programs",13
"University of Pittsburgh",3,"Engineering",11
"University of Pittsburgh",4,"Social Sciences",11
"University of Pittsburgh",5,"Biological and Biomedical Sciences",8
"American University",1,"International Relations and Affairs",25
"American University",2,"Business Administration and Management, General",14
"American University",3,"Political Science and Government, General",8
"American University",4,"Mass Communication/Media Studies",6
"American University",5,"Multi-/Interdisciplinary Studies, Other",4
"Rutgers University--New Brunswick",1,"Psychology, General",7
"Rutgers University--New Brunswick",2,"Speech Communication and Rhetoric",5
"Rutgers University--New Brunswick",3,"Biology/Biological Sciences, General",5
"Rutgers University--New Brunswick",4,"Kinesiology and Exercise Science",5
"Rutgers University--New Brunswick",5,"Public Health, General",4
"Stevens Institute of Technology",1,"Mechanical Engineering",27
"Stevens Institute of Technology",2,"Business Administration and Management, General",12
"Stevens Institute of Technology",3,"Civil Engineering, General",10
"Stevens Institute of Technology",4,"Electrical and Electronics Engineering",9
"Stevens Institute of Technology",5,"Chemical Engineering",8
"Texas A&amp;M University--College Station",1,"Business, Management, Marketing, and Related Support Services",17
"Texas A&amp;M University--College Station",2,"Engineering",14
"Texas A&amp;M University--College Station",3,"Agriculture, Agriculture Operations, and Related Sciences",10
"Texas A&amp;M University--College Station",4,"Multi/Interdisciplinary Studies",9
"Texas A&amp;M University--College Station",5,"Biological and Biomedical Sciences",8
"University of Minnesota--Twin Cities",1,"Social Sciences",12
"University of Minnesota--Twin Cities",2,"Biological and Biomedical Sciences",11
"University of Minnesota--Twin Cities",3,"Engineering",11
"University of Minnesota--Twin Cities",4,"Business, Management, Marketing, and Related Support Services",9
"University of Minnesota--Twin Cities",5,"Psychology",7
"Virginia Tech",1,"Engineering",24
"Virginia Tech",2,"Business, Management, Marketing, and Related Support Services",19
"Virginia Tech",3,"Family and Consumer Sciences/Human Sciences",9
"Virginia Tech",4,"Social Sciences",8
"Virginia Tech",5,"Biological and Biomedical Sciences",7
"Baylor University",1,"Biology/Biological Sciences, General",7
"Baylor University",2,"Registered Nursing/Registered Nurse",6
"Baylor University",3,"Accounting",5
"Baylor University",4,"Marketing/Marketing Management, General",4
"Baylor University",5,"Psychology, General",4
"Colorado School of Mines",1,"Engineering",88
"Colorado School of Mines",2,"Computer and Information Sciences and Support Services",6
"Colorado School of Mines",3,"Mathematics and Statistics",3
"Colorado School of Mines",4,"Physical Sciences",2
"Colorado School of Mines",5,"Social Sciences",1
"University of Massachusetts--Amherst",1,"Business, Management, Marketing, and Related Support Services",14
"University of Massachusetts--Amherst",2,"Social Sciences",12
"University of Massachusetts--Amherst",3,"Biological and Biomedical Sciences",10
"University of Massachusetts--Amherst",4,"Health Professions and Related Programs",9
"University of Massachusetts--Amherst",5,"Psychology",8
"Miami University--Oxford",1,"Business, Management, Marketing, and Related Support Services",26
"Miami University--Oxford",2,"Social Sciences",10
"Miami University--Oxford",3,"Communication, Journalism, and Related Programs",9
"Miami University--Oxford",4,"Education",8
"Miami University--Oxford",5,"Parks, Recreation, Leisure, and Fitness Studies",8
"Texas Christian University",1,"Business, Management, Marketing, and Related Support Services",22
"Texas Christian University",2,"Communication, Journalism, and Related Programs",16
